,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,Gasmass,DMmass,M200,R200,SF_MassFromSNII,NSF_MassFromSNII,Stars_MassFromSNII,SF_MassFromSNIa,NSF_MassFromSNIa,Stars_MassFromSNIa,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,KappaCoRot,DMEllipticity,StellarEllipticity,name1,filename,image
0,2.220446e-16,0.016751317,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1262322.png,9.257972,71.433495,10031502000.0,14622960.0,5541668400.0,584950600000.0,4666846000000.0,352.2351,352874020.0,419895420.0,1684124000.0,5070633.0,6110508.0,16417565.0,0.6755194,18367721000.0,6.3634e-08,144.72633,31.655546,0.7134337553310931,0.5643035736982391,0.2656586275846513,0.6546503441158752,galface_1262322.png,RefL0050N0752galface_1262322.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1262322.png
1,2.220446e-16,0.01703286,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1342257.png,5.995696,72.68951,10114554000.0,9044271.0,7475155500.0,765394800000.0,754816060000.0,191.91661,274847780.0,513668860.0,1769696500.0,3279477.5,5939821.5,18446682.0,0.8066556,19107880000.0,3.909043e-06,151.43855,25.121838,0.505114225751903,0.4579702739430231,0.4315502733151222,0.6166706416684536,galface_1342257.png,RefL0050N0752galface_1342257.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1342257.png
2,2.220446e-16,0.019406741,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1573529.png,6.5445485,70.63662,10134920000.0,5515284.0,4656265700.0,424856300000.0,412018250000.0,156.83807,273684500.0,322034370.0,1890860300.0,3867074.8,4472170.5,20163714.0,0.487871,18307817000.0,4.0516056e-08,138.39572,16.34615,0.7913137158557491,0.639058466785566,0.39876603068721583,0.6947846509558355,galface_1573529.png,RefL0050N0752galface_1573529.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1573529.png
3,2.220446e-16,0.02059844,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_436444.png,3.7196171,62.566475,10155730000.0,7259802.5,834722500.0,39129207000.0,13538888000000.0,502.36273,176591660.0,30812382.0,1937128400.0,2218033.5,418304.25,19231064.0,0.46726096,17633870000.0,4.5314007e-07,119.48111,6.732802,0.49932699639079403,0.418686046294948,0.17533238020308328,0.43649208955681784,galface_436444.png,RefL0050N0752galface_436444.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_436444.png
4,2.220446e-16,0.02033393,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1284990.png,2.926891,73.19454,10184499000.0,1808640.1,1714836200.0,181636700000.0,2072893200000.0,268.7541,210637000.0,73696180.0,1943357300.0,3675564.0,1255348.8,21101074.0,0.5111551,18132214000.0,0.00088023546,145.75844,6.563394,0.222492809188775,0.3599446051826666,0.21691258856491724,0.5429334813916139,galface_1284990.png,RefL0050N0752galface_1284990.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1284990.png
5,2.220446e-16,0.023005867,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_547615.png,3.4397924,69.992645,10237993000.0,3617358.2,2354523600.0,59808740000.0,1137226700000.0,220.01352,203372510.0,61647560.0,2178783700.0,3736607.5,878469.06,23559688.0,0.5458821,18135950000.0,7.691591e-09,137.95827,6.6233106,0.5426792359391923,0.4901125879131305,0.2614202980824719,0.5427536353777538,galface_547615.png,RefL0050N0752galface_547615.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_547615.png
6,2.220446e-16,0.020985369,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1545157.png,4.9432364,73.35641,10250369000.0,16298289.0,2037195400.0,579560200000.0,540304870000.0,171.66907,222053280.0,148858460.0,2054893700.0,4235687.5,2422007.0,22495472.0,0.3721642,18636920000.0,2.7566978e-06,151.73648,18.212877,0.4901454444769415,0.4890092155898851,0.28662209693261276,0.6138907778531149,galface_1545157.png,RefL0050N0752galface_1545157.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1545157.png
7,2.220446e-16,0.022694878,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1087959.png,3.0158882,67.301575,10263982000.0,16449031.0,450526800.0,385009680000.0,160973300000000.0,1146.5822,131457260.0,1044175.56,2238233600.0,2562733.8,38513.027,22590842.0,0.36497217,18770100000.0,1.5045443e-05,134.81288,7.3905005,0.2811116990425774,0.2846971958223787,0.20825228102592686,0.1990912813681418,galface_1087959.png,RefL0050N0752galface_1087959.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1087959.png
8,2.220446e-16,0.018189253,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1554434.png,5.6591425,67.39936,10265245000.0,10876969.0,4322547700.0,487515360000.0,465473340000.0,163.34448,391785540.0,239210450.0,1804791600.0,5596904.5,2907027.0,18931996.0,0.8610161,18491757000.0,1.9854348e-05,136.29927,19.294708,0.5167750444120991,0.5154088519787623,0.3805710826409042,0.6230887101635694,galface_1554434.png,RefL0050N0752galface_1554434.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1554434.png
9,2.220446e-16,0.020915492,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_1508221.png,3.7233021,72.34991,10269966000.0,10866442.0,3530864600.0,641831400000.0,583859960000.0,176.16846,229591980.0,174828020.0,2068909000.0,4171641.8,2145936.2,22161630.0,0.4827716,18712082000.0,3.4663986e-05,150.87152,20.439331,0.3028521647448835,0.38284303375815054,0.39847563481274884,0.4388153648857184,galface_1508221.png,RefL0050N0752galface_1508221.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\galaxyimagebinRefL0050N0752/RefL0050N0752galface_1508221.png
