,DescGalaxyID,SF_MassWeightedTemperature,NSF_MassWeightedTemperature
0,6524,10330.391,121544.59
1,6525,11439.893,73289.8
2,6526,13266.449,80068.68
3,6527,8893.367,170690.47
4,6528,8375.289,121149.055
5,6529,10340.528,111626.29
6,6530,8814.764,95805.37
7,6531,9500.064,113822.805
8,6532,10682.696,89072.48
9,6533,16820.316,55567.613
10,6534,10241.013,39547.047
11,6535,13030.26,30853.348
12,53264,10299.158,378028.22
13,53265,9853.318,302013.66
14,53266,9934.394,204254.36
15,53267,11232.624,175869.22
16,53268,11448.318,111058.93
17,53269,16151.276,102912.02
18,53270,12339.846,121184.14
19,53271,13100.655,100975.875
20,78318,8475.573,103861.76
21,78319,8847.036,62163.15
22,78320,11343.241,51108.43
23,78321,12303.032,48169.863
24,78322,11100.542,59713.07
25,78323,11034.825,48425.473
26,79037,12111.392,75489.42
27,79038,9964.687,67346.445
28,79039,10012.95,55696.348
29,79040,11369.083,50767.992
30,79041,11231.295,51012.895
31,79042,10368.254,49781.77
32,116746,9961.948,45785.113
33,116749,10264.146,43997.434
34,116750,10680.653,52015.438
35,116751,11037.633,52453.055
36,126886,8752.996,183784.62
37,126889,22621.34,204420.03
38,126890,13661.702,173976.02
39,126891,13620.41,131992.5
40,126892,9738.055,83902.19
41,126893,14894.457,67664.88
42,126894,13909.377,62059.82
43,126895,13290.01,55988.434
44,126896,14151.534,51487.652
45,130078,11759.534,1180807.9
46,130080,23337.963,551949.4
47,130081,17977.664,339220.03
48,130082,9453.942,111777.22
49,130085,11506.853,43274.375
50,130086,12212.794,37534.227
51,130087,10713.732,38652.312
52,132925,7389.753,61623.492
53,132927,8613.141,56216.32
54,132928,12905.045,58713.215
55,132929,12360.743,51234.496
56,132930,14533.14,63384.82
57,132931,15058.338,62920.957
58,132932,12829.342,58225.31
59,132933,12405.773,47000.957
60,401587,13753.294,691132.75
61,401588,11668.524,334017.1
62,401591,9957.394,65978.164
63,401592,12759.352,81434.805
64,401593,12641.592,91925.56
65,401594,10074.624,69707.41
66,401595,13361.642,65004.71
67,401596,10588.607,73204.61
68,414054,10966.567,282734.3
69,414055,13960.593,238527.02
70,414056,13797.553,210991.2
71,414057,11823.206,203450.75
72,414058,10443.508,130488.35
73,414059,11058.379,82363.85
74,414060,10998.444,63091.44
75,414061,11293.015,66207.48
76,414062,10689.763,62932.73
77,430560,10398.673,520227.03
78,430561,10265.585,467552.84
79,430562,13177.285,329591.34
80,430563,11087.726,214427.52
81,430565,10826.451,112132.016
82,430566,12283.085,110228.12
83,430567,12540.637,112804.63
84,430568,10687.415,85759.336
