,DescGalaxyID,M2500DM,R2500DM
0,6524,193397440000.0,46.139507
1,6525,223557470000.0,45.865906
2,6526,229157370000.0,44.20973
3,6527,190314550000.0,39.58568
4,6528,163224240000.0,35.71206
5,6529,128823440000.0,31.243599
6,6530,86866050000.0,24.864424
7,6531,56295916000.0,19.823605
8,6532,53638468000.0,17.916042
9,6533,52413792000.0,16.288654
10,6534,25321464000.0,11.953205
11,6535,20149570000.0,10.350463
12,53264,360392620000.0,46.50343
13,53265,328445100000.0,42.68234
14,53266,298870300000.0,37.535404
15,53267,206475080000.0,30.571531
16,53268,164532700000.0,26.031693
17,53269,147526880000.0,22.998386
18,53270,121413790000.0,20.156565
19,53271,77238160000.0,16.19837
20,78318,90849940000.0,25.238409
21,78319,79037130000.0,22.19683
22,78320,61643272000.0,18.766087
23,78321,38785190000.0,14.732892
24,78322,31944223000.0,12.915581
25,78323,28078715000.0,11.560528
26,79037,93303780000.0,25.464056
27,79038,84060030000.0,22.657461
28,79039,68867320000.0,19.47204
29,79040,66059645000.0,17.59508
30,79041,47590777000.0,14.75197
31,79042,44152020000.0,13.443654
32,116746,48461830000.0,20.467705
33,116749,21128649000.0,12.032727
34,116750,18583607000.0,10.782414
35,116751,16944490000.0,9.76964
36,126886,195082440000.0,43.83057
37,126889,179401600000.0,36.85557
38,126890,163089700000.0,33.79958
39,126891,146641500000.0,29.605827
40,126892,89072980000.0,23.099209
41,126893,75010105000.0,20.035332
42,126894,68433990000.0,17.803532
43,126895,60652110000.0,15.9937315
44,126896,58742750000.0,14.786204
45,130078,599763100000.0,60.925335
46,130080,288474270000.0,43.177467
47,130081,271000170000.0,40.03441
48,130082,65870442000.0,22.672718
49,130085,23077636000.0,12.392037
50,130086,27554284000.0,12.294908
51,130087,16669837000.0,9.716131
52,132925,152738380000.0,36.788826
53,132927,136414160000.0,31.845913
54,132928,124296100000.0,28.017288
55,132929,111197760000.0,24.872066
56,132930,114335630000.0,23.057497
57,132931,83759900000.0,19.044056
58,132932,69882970000.0,16.766912
59,132933,61459505000.0,15.0102625
60,401587,489699670000.0,56.94511
61,401588,150106770000.0,36.57436
62,401591,80256860000.0,24.216248
63,401592,55519797000.0,19.731844
64,401593,46466240000.0,17.078962
65,401594,33486307000.0,14.029325
66,401595,29371783000.0,12.5593195
67,401596,22808756000.0,10.787188
68,414054,261423960000.0,44.006203
69,414055,243033870000.0,40.779583
70,414056,216611230000.0,37.151775
71,414057,206028400000.0,33.15833
72,414058,112617010000.0,24.97713
73,414059,88342650000.0,21.15794
74,414060,73098660000.0,18.1988
75,414061,65502990000.0,16.409313
76,414062,57646436000.0,14.693157
77,430560,350506700000.0,53.28575
78,430561,356901360000.0,51.24635
79,430562,182833740000.0,39.061737
80,430563,287263100000.0,43.116425
81,430565,101659120000.0,26.201056
82,430566,84330450000.0,22.681747
83,430567,82901156000.0,20.71402
84,430568,85338915000.0,19.162916
85,430569,46209200000.0,14.607659
86,430570,42700440000.0,13.294208
87,434825,259192160000.0,43.88094
88,434826,155278310000.0,35.123158
89,434827,143510570000.0,32.387737
90,434828,127383360000.0,28.248304
91,434829,107916124000.0,24.625463
92,434830,89849450000.0,21.277803
93,434831,79399760000.0,18.707483
94,434832,67460880000.0,16.571232
95,434833,51887690000.0,14.18699
96,436448,170793300000.0,44.26787
97,436449,165223920000.0,41.469784
98,436450,133216750000.0,36.896965
99,436451,188943400000.0,39.491467
100,436452,104776294000.0,30.80643
101,436453,100591160000.0,28.770475
102,436454,85422375000.0,24.725204
103,436455,69352130000.0,21.250206
104,436456,60616140000.0,18.66107
105,436457,55867380000.0,16.639158
106,436458,46086140000.0,14.594798
107,436459,34762064000.0,12.413741
108,437914,149369600000.0,34.672176
109,437915,134732915000.0,31.713732
110,437916,127644850000.0,28.266684
111,437917,122667770000.0,25.699064
112,437918,92460190000.0,21.481766
113,437919,83112820000.0,18.99488
114,437920,74171480000.0,17.103186
115,437921,64066940000.0,15.219869
116,440852,297268350000.0,45.931473
117,440853,262141600000.0,41.821995
118,440854,261139600000.0,39.542587
119,440855,187502740000.0,32.132706
120,440856,158394930000.0,27.986145
121,440857,141540110000.0,24.757942
122,440858,127861370000.0,21.927223
123,440859,103245450000.0,19.096409
124,440860,71428104000.0,15.781555
