,DescGalaxyID,DMHalfMassRad,DMMass100AP,M500DM,R500DM,M200DMmean,R200DMmean
0,6524,55.14224,301855240000.0,329525530000.0,94.23658,529093560000.0,140.86131
1,6525,35.593525,301215380000.0,402171100000.0,95.38811,589193500000.0,140.2564
2,6526,46.863255,312500420000.0,627436100000.0,105.76226,1187920500000.0,168.64519
3,6527,44.621918,319122150000.0,326234370000.0,81.01549,484081800000.0,120.28799
4,6528,44.25698,311307960000.0,291589700000.0,74.09768,441681740000.0,111.98466
5,6529,44.4681,298326260000.0,280487850000.0,69.24443,435723700000.0,104.561066
6,6530,45.76516,241842930000.0,198621020000.0,56.01283,430477600000.0,94.7012
7,6531,44.953953,232555090000.0,166941500000.0,48.69887,344817860000.0,82.634605
8,6532,35.226616,232429030000.0,214290140000.0,48.611664,315942570000.0,73.81386
9,6533,23.571419,127867970000.0,97813420000.0,34.29174,136454890000.0,51.463917
10,6534,19.123075,79063106000.0,63662500000.0,27.79318,88262975000.0,41.666695
11,6535,16.53857,62979023000.0,47209420000.0,23.507011,70016110000.0,36.110783
12,53264,56.45454,593734340000.0,674630300000.0,98.00281,1036188250000.0,149.00739
13,53265,56.501713,627356700000.0,665287500000.0,92.34667,936479900000.0,138.14822
14,53266,41.42242,530144500000.0,548628200000.0,78.588005,783364400000.0,118.496414
15,53267,36.265812,385601080000.0,376106700000.0,63.843117,511963730000.0,94.265114
16,53268,32.094574,339714400000.0,310238500000.0,54.9924,434394460000.0,82.39597
17,53269,31.870403,345502350000.0,282366180000.0,48.8278,415280040000.0,74.664894
18,53270,34.00821,339791970000.0,288838060000.0,46.00997,422269350000.0,70.37041
19,53271,29.620806,299053420000.0,278997900000.0,42.500496,396398000000.0,64.59031
20,78318,40.204575,242162860000.0,210315150000.0,57.089207,424987500000.0,95.795586
21,78319,28.495007,168296320000.0,154336410000.0,47.443325,205700500000.0,69.80063
22,78320,26.033028,148440840000.0,133989650000.0,41.56871,181971800000.0,61.764454
23,78321,29.368843,157059740000.0,128586350000.0,37.565796,194387170000.0,57.958874
24,78322,25.45624,146269180000.0,133115445000.0,35.53939,210552210000.0,55.844646
25,78323,25.912027,149740000000.0,128210220000.0,32.7963,194209530000.0,50.878822
26,79037,43.467438,239186500000.0,189955180000.0,55.18655,394354620000.0,90.63366
27,79038,30.080145,187754270000.0,168414920000.0,48.844234,255344530000.0,74.80724
28,79039,27.39605,168693800000.0,139912970000.0,42.171345,219915160000.0,65.47008
29,79040,22.684334,147451950000.0,122226065000.0,36.934486,172305780000.0,55.710594
30,79041,22.7352,126054980000.0,92121520000.0,31.437334,143101720000.0,48.86437
31,79042,18.718191,110911330000.0,86896820000.0,28.808718,125241090000.0,43.926853
32,116746,37.520184,140170990000.0,137445280000.0,49.541542,424851370000.0,95.91089
33,116749,19.820826,66556486000.0,48726057000.0,27.18468,77858650000.0,42.65882
34,116750,19.05304,65189490000.0,47512953000.0,25.210888,73570560000.0,39.272545
35,116751,17.818453,59469410000.0,46484520000.0,23.385551,68503010000.0,36.001545
36,126886,111.24198,341614660000.0,652843350000.0,112.10712,1904271300000.0,182.3287
37,126889,56.070908,336582900000.0,327521830000.0,77.02395,818029800000.0,125.839355
38,126890,52.04186,338996950000.0,288984140000.0,69.93872,468630370000.0,108.159546
39,126891,38.0232,326713380000.0,340511360000.0,67.03838,427151360000.0,96.99258
40,126892,36.90981,239380380000.0,182777900000.0,50.194824,321003400000.0,80.675476
41,126893,23.050564,155498840000.0,142163790000.0,42.39853,191109500000.0,62.945427
42,126894,20.633278,140626640000.0,127567330000.0,37.46789,169732650000.0,55.563374
43,126895,20.551435,137146120000.0,116684960000.0,34.0129,163342750000.0,51.259197
44,126896,20.073454,138513120000.0,110127260000.0,31.174883,160482410000.0,47.60157
45,130078,96.38264,948582740000.0,2017304600000.0,156.09541,2955155300000.0,231.48503
46,130080,104.15085,552792100000.0,663486900000.0,97.458176,1905210700000.0,161.10455
47,130081,81.30565,532112600000.0,634003460000.0,90.8744,1199911900000.0,142.93315
48,130082,86.33105,335807300000.0,477045500000.0,75.00966,837657170000.0,119.195564
49,130085,31.452703,118977600000.0,86063200000.0,32.860664,160852380000.0,54.04932
50,130086,22.36269,88098880000.0,66177040000.0,28.154594,107480270000.0,44.30034
51,130087,21.920294,71849980000.0,47797830000.0,23.603996,85363410000.0,38.56381
52,132925,33.40322,237247480000.0,234043330000.0,72.52408,329578900000.0,107.01563
53,132927,28.565063,214754970000.0,209033900000.0,62.78049,289948140000.0,92.57128
54,132928,27.789536,211109640000.0,202220260000.0,56.347847,284078000000.0,84.082924
55,132929,30.470304,225962430000.0,203023060000.0,51.981377,301764350000.0,79.37765
56,132930,25.780573,215278490000.0,217231150000.0,48.832516,351930100000.0,76.77582
57,132931,23.325764,173774010000.0,172818560000.0,41.456936,251455500000.0,62.86771
58,132932,21.521547,157806260000.0,140202150000.0,36.16192,203826330000.0,54.917957
59,132933,21.732452,156633170000.0,131395810000.0,33.06731,186126390000.0,50.046745
60,401587,75.88312,683811000000.0,1031230500000.0,124.81296,1544928500000.0,186.61061
61,401588,88.50557,395654820000.0,459161100000.0,90.79221,1011019800000.0,150.0639
62,401591,33.403465,193338620000.0,169299770000.0,53.107006,250724680000.0,80.42388
63,401592,35.141342,154500270000.0,118799294000.0,43.478146,178834210000.0,66.34636
64,401593,32.931973,142740160000.0,101231520000.0,37.860012,174706590000.0,60.02881
65,401594,28.187904,127208700000.0,89275360000.0,33.263924,167041740000.0,54.983654
66,401595,25.862074,115875190000.0,79697470000.0,29.954885,145088840000.0,49.224895
67,401596,21.91858,97716370000.0,68485270000.0,26.609747,121935890000.0,43.5195
68,414054,57.091003,475047560000.0,515905130000.0,94.38383,829092400000.0,144.70496
69,414055,55.3963,465992400000.0,514452720000.0,89.535706,777222800000.0,135.5005
70,414056,54.678215,458565980000.0,454910020000.0,81.35694,744976700000.0,126.44538
71,414057,41.792538,434347770000.0,460333650000.0,74.1237,640222600000.0,110.602005
72,414058,41.05648,305122480000.0,247596220000.0,55.539307,470565300000.0,90.84985
73,414059,31.82362,220882240000.0,173874680000.0,45.33906,274308190000.0,70.045296
74,414060,25.730587,177506600000.0,144810250000.0,39.0836,216386570000.0,59.996677
75,414061,24.00656,167142600000.0,131445450000.0,35.390774,186618230000.0,53.59604
76,414062,22.418278,155043180000.0,120685320000.0,32.141205,172882530000.0,48.86297
77,430560,89.519226,519858060000.0,627852800000.0,110.6603,1131638700000.0,168.48807
78,430561,89.99433,497346150000.0,613936660000.0,104.99791,1107316600000.0,162.12173
79,430562,70.45675,547663450000.0,736526140000.0,106.27959,1080515200000.0,158.90152
80,430563,52.131668,532112600000.0,733511000000.0,100.7745,950561200000.0,145.71742
81,430565,33.33189,229811390000.0,196473670000.0,55.80822,288451260000.0,84.48626
82,430566,35.3491,240563180000.0,187121340000.0,50.58738,299483040000.0,79.21656
83,430567,30.525103,219680050000.0,193274500000.0,46.967743,280652320000.0,71.55415
84,430568,22.790022,178951180000.0,144226040000.0,39.030514,196562270000.0,58.09964
85,430569,26.091457,148469940000.0,99777990000.0,32.284756,158101680000.0,50.46355
86,430570,20.78454,121585580000.0,92426440000.0,29.406433,141532640000.0,45.802666
87,434825,69.53027,471431300000.0,679608450000.0,103.46748,1091642800000.0,158.77408
88,434826,47.795383,287273900000.0,280092340000.0,73.11048,439401300000.0,110.4065
89,434827,35.793957,265343700000.0,244179440000.0,66.11913,342532620000.0,97.951706
90,434828,34.018147,260282900000.0,233041630000.0,59.07932,342414850000.0,89.42874
91,434829,31.131483,234474700000.0,199813090000.0,51.706947,317926830000.0,80.49986
92,434830,26.122631,195219460000.0,189130180000.0,46.630657,256686100000.0,69.45894
93,434831,24.229433,181500970000.0,147842330000.0,39.354656,198839440000.0,58.436886
94,434832,23.279959,173754610000.0,143842300000.0,36.470562,203246940000.0,55.07447
95,434833,24.483658,171524750000.0,130269170000.0,32.971252,197594150000.0,51.039997
96,436448,55.752014,286323800000.0,318189760000.0,93.1444,542884950000.0,139.87183
97,436449,54.861153,289542570000.0,285163520000.0,85.05922,455191630000.0,129.07283
