,Unnamed: 0,ProjGalaxyID,DescGalaxyID,DescID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image,btdradius,btdintensity,n_total,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm,morph_c,morph_asymm,morph_sersic_n,morph_smoothness,morph_sersic_rhalf,morph_xc_asymmetry,morph_yc_asymmetry
0,0,116736,116736,116736,2.220446e-16,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116736.png,5.2489386,,12181917000.0,9062038.0,65499730000.0,,0.18612614,21723670000.0,9.216688000000001e-08,126.44751000000001,7.3626556,0.5725160022618232,,,0.5127389348905437,,,,,galface_116736.png,RefL0050N0752galface_116736.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116736.png,0.35644033394579633,0.634861749610934,1.7555073721236607,2.53621496199378,0.010264795013130422,0.010264795013130422,7.011682319180365e-05,0.009399706859969763,59783668314522.6,0.0,0,56.96335983276367,20.304039001464844,4815.615891096642,3057.2503300758312,0.5296398031070729,0.07931265234947205,1.980440019052221,116.35714285714286,46.74175824175824,0.18729626884750714,2.9556725395798376,-0.033609978179763224,1.4087625821209033,-0.07310945817245128,6.597231548403822,127.24043038212758,129.7427919321915
1,1,116736,116737,116736,0.10063854,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116737.png,4.9656487,,12112953000.0,9062038.0,66372284000.0,,0.57349455,21301387000.0,2.9805474e-07,128.8444,7.0677705,0.5910212759984617,,,0.5410588431560293,,,,,galface_116737.png,RefL0050N0752galface_116737.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116737.png,0.3559884609046885,0.6532014323515238,1.8999921422093602,2.6142474200411456,0.01139632251183366,0.01139632251183366,0.00012205713739310963,0.006291788945785008,552314709608.2731,0.0,0,56.87981033325195,20.24855613708496,4662.18311912916,3045.3446913002626,0.53931459382089,0.07909592241048813,1.980440019052221,116.35714285714286,46.74175824175824,0.16196704977206616,2.986122872201076,-0.02926033068073855,1.4160499988416975,-0.08153933700528951,6.898365580276174,126.29345364033583,128.27015532723613
2,2,116736,116738,116737,0.18270987,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116738.png,5.0920787,,12015782000.0,9062038.0,65858450000.0,,0.8345665999999999,20436935000.0,6.957508e-06,128.71858,8.037605000000001,0.6011438289853985,,,0.5531145577546754,,,,,galface_116738.png,RefL0050N0752galface_116738.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116738.png,0.3696813752525888,0.6405180101176178,1.7419953355240212,3.120364444364664,0.010266806083583279,0.010266806083583279,0.0002537287309014623,0.07657007103286859,18228944643113.63,0.0,0,58.721900939941406,21.708393096923828,5562.386721102864,3562.808874105467,0.5394179956804201,0.0847984105348587,2.0374266328913397,114.375,44.755434782608695,0.1657061899496182,2.9500221129826216,-0.014935804555116604,1.242581262499252,-0.06349831389562174,6.335875943107788,128.25086299553146,128.2720157920041
3,3,116736,116739,116738,0.27090108,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116739.png,4.6969085,,11557599000.0,9062038.0,74496730000.0,,2.5137556,18980356000.0,5.510196400000001e-08,147.49546999999998,9.366531,0.6300459585259055,,,0.5903294528771188,,,,,galface_116739.png,RefL0050N0752galface_116739.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116739.png,0.33872997283170536,0.6237504163390202,1.3295288814291033,3.0830180466495083,4.2428677367527257e-05,4.2428677367527257e-05,8.657696531946199e-05,0.48093536661988767,0.0,0.0,5,66.30997467041016,22.4611759185791,6295.307763492351,3926.70083846062,0.5829358167682336,0.08773896843194962,2.065018775539567,87.51648351648352,33.81318681318682,0.2544891913571766,2.663493711494148,0.11837715847831372,0.8310427729585881,0.03572518974687951,5.101524529814305,124.71469747038206,126.22449807833291
4,4,116736,116740,116739,0.36566857,,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RefL0050N0752_Subhalo/galface_116740.png,5.419412599999999,,10263066000.0,9062038.0,104706500000.0,,3.2777165999999998,16956132000.0,5.1784443e-09,144.6348,10.36468,0.6439329865643444,,,0.4953625205299382,,,,,galface_116740.png,RefL0050N0752galface_116740.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinallbranchesRefL0050N0752/RefL0050N0752galface_116740.png,0.2811761647369214,0.5018961430259922,1.6902504974740102,2.8732930281554685,0.001403164704866497,0.001403164704866497,0.00038903779215458857,0.04755780993008163,0.0,0.0,59,62.28858947753906,17.514066696166992,5697.431735896827,2859.519013400501,0.4317320287922081,0.06841432303190231,2.110368441943785,110.3901098901099,41.769230769230774,0.30437421422647654,,,,,,,
5,5,116736,116741,116740,0.5031073,,,6.4150085,,7446411000.0,7254085.0,109806090000.0,,3.087789,12186293000.0,1.0469843e-09,146.13455,18.980595,0.5821802674678975,,,0.469584844370536,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
365,6,116736,117225,116740,0.5031073,,,2.2275136000000004,,659557500.0,1807953.0,1134320400.0,,0.27485162,1047508200.0,5.0296805000000004e-08,52.753730000000004,3.0570884,0.08888155274476628,,,0.4791708372297969,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
725,7,116736,117226,117225,0.6151898,,,3.7654855000000005,,2122869200.0,1807953.0,14823725000.0,,1.1113076000000002,3355516200.0,2.9497837999999997e-10,88.27731,6.757049,0.4290256405073243,,,0.42567032237425373,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1085,8,116736,116742,116741,0.6151898,,,4.733258,,4361625000.0,7254085.0,106703680000.0,,2.7928827000000003,7219059700.0,6.579443e-09,134.04295,20.510952,0.6856354210279367,,,0.6107880088167114,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1445,9,116736,116743,116742,0.7356295999999999,,,3.7558331,,2354374700.0,5446131.5,82999300000.0,,1.3401921,3783713300.0,7.224941999999999e-08,115.31916000000001,29.653418,0.4627458346822931,,,0.6285848346735478,,,,,,RefL0050N0752,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
