,Unnamed: 0,ProjGalaxyID,DescGalaxyID,z,Z,face,HalfMassRadius,VelDisp,Starmass,BHmass,DMmass,Gasmass,SFR,StellarInitialMass,BHAccretionrate,Vmax,Vmaxradius,DiscToTotal,DispAnisotropy,DMEllipticity,StellarEllipticity,StellarCoRotKE,MedOrbitCircu,RotToDispRatio,Triaxiality,name1,filename,image,btdradius,btdintensity,n_total,n_disc,n_bulge,n_bulge_exp,n_total_error,n_disc_error,n_bulge_error,n_bulge_exp_error,star_count,discradius,bulgeradius,disc_intensity,bulge_intensity,btotalintensity,btotalradius,con,r80,r20,asymm,morph_c,morph_asymm,morph_sersic_n,morph_smoothness,morph_sersic_rhalf,morph_xc_asymmetry,morph_yc_asymmetry
0,0,4938,4938,2.220446e-16,0.021662762000000002,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_4938.png,2.884089,74.05731999999999,12150559000.0,1809530.5,70330290000.0,179439760.0,0.10852761,21808460000.0,1.7424900000000002e-06,141.90181,8.738816,0.5639575649750871,0.21487264762469135,0.1772324579618172,0.6090768819084461,0.5394398654170103,0.5843235300764259,1.325229362546673,0.0950345294836042,galface_4938.png,RecalL0025N0752galface_4938.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_4938.png,0.2939921145025918,0.6148678427489657,2.101459925222589,2.4324764606356983,0.007863769383753619,0.007863769383753619,0.00081988309555067,0.0070208466650259005,1.937683201019911e+16,0.0,4,57.14573669433594,16.800395965576172,3469.5775856013775,2133.3316853088836,0.5402312867549228,0.06562654674053192,2.066283833780717,100.44505494505495,38.785714285714285,0.1740066777530847,,,,,,,
1,1,51604,51604,2.220446e-16,0.01792941,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_51604.png,4.828517,70.82770500000001,12386778000.0,1432421.5,80701570000.0,6047838000.0,1.7298837,21732393000.0,1.5525273999999999e-10,138.10663,10.505563,0.6641374104858352,0.19652232515003695,0.20186882489068392,0.6576322084356359,0.6134984470124074,0.6412558220471491,1.6900122789606784,0.0824044247554511,galface_51604.png,RecalL0025N0752galface_51604.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_51604.png,0.1838807543436581,0.43078551161166995,1.4156261922189801,1.2862880459747648,1.4372142788419122,1.4372142788419122,0.00025727356410216334,0.0015157416755827021,0.012902004666342747,0.007002296954286996,111,70.76407623291016,13.012151718139648,4618.906123043543,1989.7578373015874,0.33921477162271957,0.050828717648983,1.779393318356631,117.35164835164835,51.714285714285715,0.29838263626359995,2.4177186613220365,0.09806764289367513,1.3968865761719786,-0.032092983274393506,10.993125207341656,129.72652019972634,123.25078552155254
2,2,616717,616717,2.220446e-16,0.021772452,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_616717.png,3.6619565,89.66717,18388167000.0,5915743.5,138238020000.0,619472450.0,0.24700254,33135469000.0,4.3880743e-10,174.94568,13.419078,0.7353631084481508,0.12918676045738353,0.2797052690316064,0.7063110842702778,0.6403327304155003,0.6683305036123556,1.9227058206386989,0.148166183815369,galface_616717.png,RecalL0025N0752galface_616717.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_616717.png,0.3384548108062042,0.6191146897526792,2.3918141455185404,8.86511867248313,0.0030675018215994138,0.0030675018215994138,0.0010432137962900969,1.1392085233749734,0.0,0.0,8,53.7139892578125,18.179758071899414,4025.5267881855834,2492.2627685586167,0.5551101635708643,0.07101467996835709,2.2614883549731513,101.43956043956044,35.8021978021978,0.1862971973449183,,,,,,,
3,3,642129,642129,2.220446e-16,0.019084621,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_642129.png,5.2435849999999995,79.59165,13584497000.0,1654445.1,134519980000.0,5481746400.0,1.3904504,24021880000.0,2.4806412e-09,152.07153,34.06722,0.6947810531658751,-0.13414834171283976,0.2611107552941737,0.7082672869993827,0.6793486528467352,0.7911525901723352,2.5473553992878752,0.010683738237987293,galface_642129.png,RecalL0025N0752galface_642129.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_642129.png,0.19310307412087435,0.39551449490720214,1.414208567356371,1.4134304251594616,0.001845412008407002,0.001845412008407002,0.0004867237466582922,0.00214465341379063,0.0,0.0,79,70.43684387207031,13.601571083068848,4963.95591852528,1963.3165178571428,0.34417516465760634,0.053131137043237686,1.8808563195493297,106.41208791208791,44.752747252747255,0.20335404280863867,,,,,,,
4,4,646493,646493,2.220446e-16,0.019744815,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_646493.png,4.9448123,84.41445999999999,14780843000.0,1138628.6,124535280000.0,781319740.0,0.37246987,26529534000.0,1.9022433000000002e-08,163.4254,12.930454,0.777138899178698,0.41490858718255297,0.3042656199918127,0.7141187324885123,0.6221675673488841,0.6548032299859177,1.5297426791482205,0.16290494701831115,galface_646493.png,RecalL0025N0752galface_646493.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_646493.png,0.2618323878422287,0.5317823886571972,1.7606819476389324,1.9535012635765776,0.009857984156538147,0.009857984156538147,0.00032026483503378974,0.0028403802891718848,25542431561492.027,0.0,8,65.52491760253906,17.156545639038086,4446.544318926302,2364.593959188719,0.4582912886599758,0.06701775640249252,1.8591860305391625,112.37912087912088,47.73626373626374,0.13535041176168114,2.744856178490763,-0.08081798680461932,1.5015686368535566,-0.05717129871598296,8.51058588201923,127.24411888148654,127.28158759090651
5,5,650554,650554,2.220446e-16,0.02108429,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_650554.png,6.6878147,97.58462,29770949000.0,2035554.4,154428750000.0,6945014000.0,2.7400305,54003347000.0,2.6413045e-07,179.73605,8.284597,0.8146868950774627,-0.3975993934385882,0.2294596206271503,0.7181993502511106,0.6934565796273457,0.7802113806372837,2.7389756367393194,0.016670475928437945,galface_650554.png,RecalL0025N0752galface_650554.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_650554.png,0.15981511470332707,0.3165503818814695,1.1920088992533782,1.1546928274118209,1.9553523367373782,1.9553523367373782,0.0002718040913234661,0.0006325247335688271,0.1408530792366696,0.05666915673751607,114,74.16926574707031,11.85336971282959,4676.889879761883,1480.471277456204,0.24877542805751443,0.046302225440740585,1.6549660952071221,119.34065934065934,55.69230769230769,0.2300129726518548,2.3122408272046706,0.01689211834015551,,-0.02812123250728363,7.363039676580216,125.27845382952819,129.75034523420334
6,6,659536,659536,2.220446e-16,0.015221547,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_659536.png,7.983963,70.18122,12033460000.0,1130577.0,93394805000.0,3832606700.0,1.2183388000000002,21183728000.0,1.1061178999999999e-10,134.49347,13.856929999999998,0.8616194615681014,0.07736846846998457,0.2948528731562541,0.7142282898890963,0.6943482833865832,0.7115593811700371,2.178622886577907,0.18221705955258205,galface_659536.png,RecalL0025N0752galface_659536.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_659536.png,0.13787291290713127,0.2627947360071593,1.1797289995919318,1.2256834681561317,0.00021928617967841013,0.00021928617967841013,0.00010415983446071136,0.0011533029477421536,0.0,17540796990732.219,91,80.52272033691406,11.10190200805664,8188.330718392213,2151.8502094791947,0.22565189346902587,0.04336680471897125,1.7195499607268632,116.35714285714286,52.70879120879121,0.19949538883398493,2.3929932378688084,0.017752704154417397,0.8836147160293306,-0.04564430372820188,8.910270167659855,129.75233665416252,126.2410572057541
7,7,697075,697075,2.220446e-16,0.016895300000000002,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_697075.png,4.484118,72.945076,10813851000.0,2175677.8,118046880000.0,5406757400.0,1.0821466,18830004000.0,5.4594253e-08,145.18825,16.358826,0.6317563449150654,0.3767843317201064,0.442399637466414,0.6900338866308575,0.5843516547459131,0.6325242128196911,1.4677986326222685,0.07920784095835608,galface_697075.png,RecalL0025N0752galface_697075.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_697075.png,0.17917318357381962,0.4011647112150844,1.2973032917377711,1.1052364957594336,2.245657821310294,2.245657821310294,0.0003038275067403011,0.0009387456197566258,0.010206391555819747,0.007043972445658572,104,76.6277084350586,13.729630470275879,4482.916490971512,1798.387899501926,0.3591443028177472,0.05363136902451515,1.7361520895605498,108.4010989010989,48.73076923076923,0.22937922381597528,,,,,,,
8,8,709787,709787,2.220446e-16,0.018259035,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_709787.png,5.737373000000001,84.33382399999999,13551484000.0,2512928.0,152323720000.0,7524534300.0,1.6830375,25205662000.0,7.682679e-08,159.2346,15.256031,0.6192868233847348,0.3832625528278128,0.3327560733405863,0.7283522405012517,0.6039412810468102,0.5196740465302747,1.5862316937911924,0.24610980196342316,galface_709787.png,RecalL0025N0752galface_709787.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_709787.png,0.1408078432007644,0.38490655621963066,1.3441945854845154,1.0718294607399037,2.364333075387318,2.364333075387318,0.00025035129948318646,0.0012628113673641013,0.006173574668388005,0.008466579310072574,129,94.21958923339844,13.266857147216797,5026.458502769016,1934.7168322817029,0.31856956387466573,0.05182366073131561,1.6524248750112842,121.32967032967034,56.68681318681319,0.2806681959749173,2.4390008897054893,0.02668540976162873,1.508195745330772,-0.05954912805312839,14.542593663589669,127.25317549497213,127.29094395460056
9,9,737885,737885,2.220446e-16,0.01941169,http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_737885.png,8.494644000000001,97.633575,25758130000.0,6283330.0,221183980000.0,10375151000.0,2.1638246,48598120000.0,5.1251504e-06,192.11893999999998,29.496983,0.6769265434174371,-0.035408802038018106,0.3417928367294392,0.7206723495584706,0.6453517709503653,0.7569368915569556,2.2957900612943463,0.06896289568314436,galface_737885.png,RecalL0025N0752galface_737885.png,C:\Users\Melissa\Dropbox\Melissa Seabrook Masters' Project\formation_of_galactic_bulges\evolvinggalaxyimagebinmainbranchRecalL0025N0752/RecalL0025N0752galface_737885.png,0.13040372746139578,0.31274346864667313,0.5931492327984909,0.49999235994446256,0.9593086177417898,0.9593086177417898,0.00010489830583216902,0.00013623943764751975,0.003957203418025618,0.0,257,90.89747619628906,11.85336971282959,6009.0245320024915,1879.283175321411,0.23167715414893403,0.046302225440740585,1.2513822880510683,120.33516483516483,67.62637362637363,0.17579666541818725,2.00340380867007,0.06429815509633144,,-0.04873988022168598,5.181974042503694,125.63693751863866,129.34725309230302
